PV,0.0645404550200746
Wind,0.128036846
Inter,0.05
PHP,0.0326374843115503
PHS,0.00188416520205027
BP,0.00140722153566053
BS,0.0138021052066805
KDPE,0.00746082833105818
TEPA,0.00911879018240444
SEME,0.00497388555403879
MEJO,0.00939511715762882
PESE,0.0096714441328532
SBSW,0.0373041416552909
KTTE,0.00746082833105818
PASE,0.00746082833105818
JOSW,0.134793568385945
THKD,0.0401677109230323
INSE,0.0478922707159232
PHSB,0.0723533767267441
ACPV,0.000447653950448754
Hydro,0.05
Bio,0.101
GasCap,0.0721683748862089
GasFuel,0.113
PHES-VOM,0.0003
B-VOM,0
LegPH,0
LegINTC,0
